retriever,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr
granite_dense,0.6433333333333333,0.2855555555555555,0.18999999999999997,0.10099999999999999,0.6148333333333333,0.7832222222222223,0.8397777777777778,0.8925555555555555,0.6433333333333333,0.7251789663246091,0.7487650474392256,0.7665175315928656,0.7298968253968254
granite_small_dense,0.6133333333333333,0.2755555555555555,0.18533333333333332,0.10066666666666665,0.5864999999999999,0.7542222222222221,0.8259444444444445,0.8870000000000001,0.6133333333333333,0.6949858282642465,0.7243188294870987,0.7458472856451673,0.7043267195767197
bm25,0.51,0.23777777777777775,0.15199999999999997,0.08299999999999999,0.49416666666666664,0.6733333333333333,0.7051111111111111,0.7556666666666666,0.51,0.6045619892237521,0.6179867060839919,0.6359912686911698,0.6041415343915344
st_dense,0.49666666666666665,0.23444444444444443,0.15666666666666668,0.08933333333333332,0.4772222222222222,0.6453333333333333,0.7097777777777778,0.79,0.49666666666666665,0.5869013555065904,0.6129435454398259,0.6411551451020527,0.5982962962962962
gte_dense,0.6366666666666667,0.2722222222222222,0.18199999999999997,0.09933333333333333,0.6098333333333333,0.7508888888888888,0.8186111111111112,0.8823333333333333,0.6366666666666667,0.7036963189067981,0.7314722707402536,0.753406426969291,0.717547619047619
e5_dense,0.5866666666666667,0.26,0.17266666666666666,0.09499999999999999,0.5609444444444445,0.7098888888888888,0.7771111111111111,0.8463888888888889,0.5866666666666667,0.6612879701068397,0.6872924221591753,0.7116164617465648,0.673116402116402
bge_dense,0.6066666666666667,0.27444444444444444,0.18066666666666664,0.09899999999999999,0.5793888888888888,0.7505555555555556,0.8103888888888889,0.8813333333333333,0.6066666666666667,0.6916023385397334,0.7148526250987791,0.7387785365774262,0.6989708994708995
hybrid_granite_bm25,0.59,0.2566666666666666,0.16599999999999995,0.09633333333333333,0.569,0.7120555555555556,0.7598333333333332,0.8669444444444444,0.59,0.6647398538455463,0.6839559884971648,0.7190477822974618,0.6807962962962962
hybrid_granite_small_bm25,0.5766666666666667,0.2522222222222222,0.16466666666666663,0.09499999999999999,0.5578888888888889,0.7023333333333333,0.7537222222222223,0.8540555555555557,0.5766666666666667,0.6556020495025969,0.6763247593432724,0.7095030527527872,0.6706415343915343
granite_rerank,0.64,0.2755555555555555,0.17866666666666664,0.09766666666666665,0.6131666666666666,0.7573888888888889,0.8013888888888889,0.8652222222222222,0.64,0.7105175093296208,0.728288992696323,0.7506321019895678,0.7190330687830687
granite_small_rerank,0.64,0.27444444444444444,0.18066666666666664,0.09799999999999999,0.6131666666666666,0.7557222222222222,0.8113888888888889,0.8685555555555555,0.64,0.7092279999721723,0.7316021593169989,0.7518818956310173,0.7195568783068783
hybrid_granite_bm25_rerank,0.6366666666666667,0.2755555555555555,0.17866666666666664,0.09733333333333331,0.6123333333333333,0.7573888888888889,0.8013888888888889,0.8643888888888889,0.6366666666666667,0.7106082431433925,0.7285112243034791,0.7501967701163211,0.7176997354497354
